Name,Gender,BirthYear&Month,EmployedYear&Month,SSN,PhoneNumber,Position,Address,Salary,CreditCardNumber,Manager
HanGaoZu,F,1982.7,2004.5,441281398207104348,13802878786,Finance,"HuBei,YiChang,HuanQu,SanYangYiLu,20932",10000,78503694560102563256,WangJiaXiong
LiuPengPeng,M,1979.7,2008.4,440622198907075022,13523190428,Clerk,"HanCheng,HuShi,HongQu,JieFangDaLu,33943",7000,78521536961235263648,LiGuoQiang
WangYang,F,1979.6,2008.5,452426197906171829,13890798501,Driver,"ShanXi,XiAn,SanQu,DongQiLu,28123",5000,12025856321236985647,HuBa
XuGou,M,1973.4,2012.2,455328197304272153,12856884952,Driver,"GuiZhou,FuXi,SiQu,DaMaLu,43110",4000,22563365890201514520,WangJiaXiong
YangYi,M,1989.9,2015.6,431028191909171252,13689827977,Driver,"YiBa,BaDong,SifeiQu,WangBaLu,33917",3000,78941519823050565567,WangJiaXiong
ZhangLang,M,1990.1,2020.8,440682199010171030,13889789448,Warehouse Keeper,"QuJiu,Wangsan,JiuQu,ChengSiLu,19320",9000,89495195982319800564,WangJiaXiong
MiLan,F,1966.6,2017.2,452328116611202142,13579879848,Logistics,"HanCheng,FuShan,WuQu,FeiTuLu,11432",6000,17981561987981650988,HuBa
HuBa,M,1965.6,2017.12,452328196306102115,13697849498,Manager,"XuQu,YiSheng,LiuQu,QiGuaiLu,48103",18000,05490109849451298789,KellyMom
SiWei,F,1989.3,2021.1,543423457289347529,13887949879,Contacter,"MaoDi,MaFa,QiQu,TianAnLu,06450",9000,16489120468987812065,LiGuoQiang
WangBuBu,M,1990.5,2003.5,283476892735982430,13549849878,Contacter,"QuJiu,Wangsan,BaQu,JiuMingLu,29440",7800,87981560594987480115,HuBa
XuDong,F,1955.3,2005.6,234758927348952000,13598798797,Contacter,"GuangDong,FoShan,WuQu,HanLu,70806",3000,05494987891205649815,WangJiaXiong
LiYing,F,1993.4,2020.6,237481750128347223,13979879797,Contacter,"YunNan,KunMing,SanQu,HanYangLu,82932",13000,87894891894849541561,LiGuoQiang
LiGuoQiang,F,1970.2,2004.6,849789189877994000,13987997866,Manager,"XiZang,WuLuMuQi,BaQu,SiSiLu,80923",19000,48978941897879878915,KellyMom
WangJiaXiong,M,1982.12,2008.1,879197011598789000,13579879844,Manager,"ZheJiang,XiNan,WuQu,QiangLiLu,89719",25000,18948749198798798419,KellyMom
KellyMom,F,1976.1,1989.1,489498489789151997,13884894986,Boss,"GuangDong,FoShan,BaQu,JieFangLu,70806",100000,87984984987897987989,KellyMom
ZhangXueYou,M,1997.3,2020.9,198789418949789212,13598798798,Contacter,"GuangDong,GuangZhou,ZhuJiang,Xianyi2Lu,20268",9000,19498789798798798758,WangJiaXiong
FaGuoRen,F,1983.12,2015.4,189787894189789415,13798787987,Finance,"ZheJiang,ShaoXing,Huangjiu,ZhenHaoHe,94021",19000,18979819878918979871,KellyMom
LiSiSi,F,1990.1,2021.1,343525942694320634,13549850369,Salesman,"ShanXi,XiAn,JiuJiang,HuangQuanLu,59784",5000,44343520558130943214,LiGuoQiang
ZhaoLiYing,F,1980.3,2008.9,343543626926949029,19804038275,Salesman,"SiChuan,ChengDu,WuHou3Qu,LiuJie,89490",5000,34234241093581584912,HuBa
ZhangBoZhi,M,1980.2,2018.4,435060563560209521,13508953824,Salesman,"SiChuan,WenChuan,QiYiQu,TiDuJie,85657",6000,55390218434019858311,WangJiaXiong
WangBaDa,F,1990.3,2019.2,295760397987469221,13809372375,Salesman,"FuJian,XiaMen,WuGou,YuZhongQu,51987",6000,34143545326578959324,LiGuoQiang
SiMaGuang,M,1988.10,2006.12,341577430568498441,13923578325,Advertiser,"LiaoNing,DanDong,SanLu,WuYueLu,87948",5000,23432454362546763521,KellyMom
SunXiaoChuan,F,1982.7,2008.1,358658683958991519,13432425723,Salesman,"GanSu,JiuQuan,WenQu,LuZhongJie,59798",7000,34246569842958457319,KellyMom
